image,brand_name,class_type,alcohol_content,net_contents,government_warning,bottler,country_of_origin
harbor_vodka.png,HARBOR LIGHT,Vodka,40%,750 mL,,,
cane_rum.png,CANE COPPER,Rum,40%,1 L,,,
agave_tequila.png,AGAVE ROAD,Blanco Tequila,40%,750 mL,,,
oak_brandy.png,OAK BARREL,Brandy,40%,750 mL,,,
desert_mezcal.png,DESERT SMOKE,Mezcal,42%,750 mL,,,
highland_scotch.png,HIGHLAND GATE,Scotch Whisky,43%,750 mL,,"Imported by Highland Gate, New York, NY",Product of Scotland
river_cognac.png,RIVER HOUSE,Cognac,40%,750 mL,,,
citrus_liqueur.png,CITRUS HOUSE,Liqueur,20%,750 mL,,,
cedar_sake.png,CEDAR HOUSE,Junmai Sake,15%,720 mL,,,
seoul_soju.png,SEOUL LIGHT,Soju,16%,375 mL,,,
dry_vermouth.png,DRY HOUSE,Dry Vermouth,18%,750 mL,,,
tilted_vodka.png,HARBOR LIGHT,Vodka,40%,750 mL,,,
